,Average tablespoon (grams),Average tablespoon KG,Source,Average Unit (if applicable) (grams),Average unit (KG),Source,"Median GHG emission ((kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)"
Olive Oil,14,0.014,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/olive-blank-oil-coma-and-blank-upc-column--blank-041618501572,N/A,N/A,,5.1
Tomatoes,14,0.014,https://www.howmany.wiki/vw/--1--tbsp--of--tomato-paste--in--gram,123,0.123,https://hannaone.com/Recipe/weighttomato.html,0.7
Onions & Leeks,3.25,0.00325,https://www.howmany.wiki/vw/--2--tablespoon--of--chopped-onion--in--gram,110,0.11,https://hannaone.com/Recipe/weightonions.html,0.4
Root Vegetables,3.75,0.00325,https://www.aqua-calc.com/calculate/food-volume-to-weight,73,0.073,https://hannaone.com/Recipe/weightscarrot.html,0.4
Brassicas,N/A,N/A,,908,0.908,https://www.howmuchisin.com/produce_converters/cabbage,0.4
Other Vegetables,,,,256,0.256,(average of large vegetables from https://weightofstuff.com/average-weight-of-all-fruits-and-vegetables/,0.4
Citrus Fruit,N/A,N/A,,120,0.12,https://hannaone.com/Recipe/weightorange.html,0.3
Bananas,N/A,N/A,,118,0.118,https://fruitsandveggies.org/expert-advice/many-pounds-bananas-need-approximately-800-runners/,0.8
Apples,N/A,N/A,,80,0.08,https://hypertextbook.com/facts/2009/AliciaMcGeachy.shtml,0.4
Berries & Grapes,N/A,N/A,,7,0.007,http://cetulare.ucanr.edu/files/82015.pdf,1.4
Wine,14.75,0.01475,https://www.aqua-calc.com/calculate/food-volume-to-weight,N/A,N/A,,1.6
Other Fruit,,0,,278,0.278,(average of medium fruits from https://weightofstuff.com/average-weight-of-all-fruits-and-vegetables/),0.7
Coffee,7,0.007,https://www.homegrounds.co/how-to-measure-coffee/,N/A,N/A,,8.2
Dark Chocolate,11,0.011,http://convert-to.com/692/dark-chocolate-70-85-percent-cocoa-nutritional-facts-converter.html,N/A,N/A,,5
Bovine Meat (beef herd),24,0.024,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/beef-blank-base-coma-and-blank-upc-column--blank-00074826114012,225,0.225,https://www.mccaskiebutcher.co.uk/about/guide-to-meat-weights/,60.4
Lamb & Mutton,15.75,0.01575,https://www.aqua-calc.com/page/density-table/substance/lamb-blank-or-blank-mutton-blank-and-blank-potatoes-blank-with-blank-gravy-blank--op-mixture-cp-,87,0.087,https://www.foodstandards.gov.au/science/monitoringnutrients/ausnut/foodmeasures/Pages/Meat-and-fish-measures-program---data-tables.aspx,40.6
Pig Meat,20,0.02,https://www1.health.gov.au/internet/publications/publishing.nsf/Content/nhsc-participant-wb~appendix-2~table-1,115,0.115,https://www.foodstandards.gov.au/science/monitoringnutrients/ausnut/foodmeasures/Pages/Meat-and-fish-measures-program---data-tables.aspx,10.6
Poultry Meat,12,0.012,https://www1.health.gov.au/internet/publications/publishing.nsf/Content/nhsc-participant-wb~appendix-2~table-1,1356,1.356,https://www.foodstandards.gov.au/science/monitoringnutrients/ausnut/foodmeasures/Pages/Meat-and-fish-measures-program---data-tables.aspx,7.5
Milk,15.13,0.01513,https://www.calculateme.com/recipe/1-tablespoons-of-milk,N/A,N/A,,2.7
Cheese,14.1,0.0141,https://www.howmany.wiki/vw/--1--tbsp--of--cheese--in--gram,N/A,N/A,,18.6
Eggs,N/A,N/A,,50,0.05,https://en.wikipedia.org/wiki/Chicken_egg_sizes,4.2
Fish (farmed),12,0.012, https://www1.health.gov.au/internet/publications/publishing.nsf/Content/nhsc-participant-wb~appendix-2~table-1,250,0.25,https://en.wikipedia.org/wiki/Gilt-head_bream,7.9
Crustaceans (farmed),12,0.012,https://www1.health.gov.au/internet/publications/publishing.nsf/Content/nhsc-participant-wb~appendix-2~table-1,50,0.05,http://www.oceanexports.com.au/products.htm,14.7
